No.,Time,Src Port,Dst Port,Source,Destination,Protocol,Length
190,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
191,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
192,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
193,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
194,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
195,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
196,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
197,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
198,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
199,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
200,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
201,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
202,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
203,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
204,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
205,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
206,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
207,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
208,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
209,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
210,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
211,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
212,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
213,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
214,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
215,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
216,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
217,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
218,2017-01-19 18:09:51,49297,80,10.1.19.102,92.53.119.137,HTTP,771
219,2017-01-19 18:09:51,80,49297,92.53.119.137,10.1.19.102,TCP,60
220,2017-01-19 18:09:51,49308,80,10.1.19.102,92.53.119.137,TCP,66
221,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
222,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
223,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
224,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
225,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
226,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
227,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1157
228,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
229,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
230,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
231,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
232,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
233,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
234,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
235,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
236,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
237,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
238,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
239,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
240,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
241,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
242,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
243,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1157
244,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
245,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1395
246,2017-01-19 18:09:51,49288,80,10.1.19.102,92.53.119.137,TCP,60
247,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1514
248,2017-01-19 18:09:51,80,49288,92.53.119.137,10.1.19.102,TCP,1276
